batch_id,batch_name,request_id,record_id,timestamp_utc,input_type,text,characters,words,valid_input,validation_message,estado,categoria_predicha,segunda_categoria,puntuacion_ganadora,puntuacion_segunda,margen_decision,nivel_margen,terminos_activos,accion_recomendada,requiere_revision,prediccion_utilizable,advertencias,ranking_categorias,explicacion
74d648ef-b83c-4a40-b89f-ceb75e13b616,lote_ruido_oov,20b9f52a-e905-4ba5-8a59-e11026bca9fc,0,2026-08-06T03:25:56.349+00:00,str,zzzxqvvv pppqqqxxx nnnyyywww kkkrrrttt,38,4,True,"El texto es válido, pero no contiene términos reconocidos.",rechazada,,,,,,,0,Solicitar más contexto o revisión humana,True,False,['No se devuelve una categoría para evitar una predicción basada únicamente en interceptos.'],,
74d648ef-b83c-4a40-b89f-ceb75e13b616,lote_ruido_oov,20b9f52a-e905-4ba5-8a59-e11026bca9fc,1,2026-08-06T03:25:56.349+00:00,str,zzzxqvvv pppqqqxxx nnnyyywww kkkrrrttt,38,4,True,"El texto es válido, pero no contiene términos reconocidos.",rechazada,,,,,,,0,Solicitar más contexto o revisión humana,True,False,['No se devuelve una categoría para evitar una predicción basada únicamente en interceptos.'],,
74d648ef-b83c-4a40-b89f-ceb75e13b616,lote_ruido_oov,20b9f52a-e905-4ba5-8a59-e11026bca9fc,2,2026-08-06T03:25:56.349+00:00,str,zzzxqvvv pppqqqxxx nnnyyywww kkkrrrttt,38,4,True,"El texto es válido, pero no contiene términos reconocidos.",rechazada,,,,,,,0,Solicitar más contexto o revisión humana,True,False,['No se devuelve una categoría para evitar una predicción basada únicamente en interceptos.'],,
74d648ef-b83c-4a40-b89f-ceb75e13b616,lote_ruido_oov,20b9f52a-e905-4ba5-8a59-e11026bca9fc,3,2026-08-06T03:25:56.349+00:00,str,zzzxqvvv pppqqqxxx nnnyyywww kkkrrrttt,38,4,True,"El texto es válido, pero no contiene términos reconocidos.",rechazada,,,,,,,0,Solicitar más contexto o revisión humana,True,False,['No se devuelve una categoría para evitar una predicción basada únicamente en interceptos.'],,
74d648ef-b83c-4a40-b89f-ceb75e13b616,lote_ruido_oov,20b9f52a-e905-4ba5-8a59-e11026bca9fc,4,2026-08-06T03:25:56.349+00:00,str,zzzxqvvv pppqqqxxx nnnyyywww kkkrrrttt,38,4,True,"El texto es válido, pero no contiene términos reconocidos.",rechazada,,,,,,,0,Solicitar más contexto o revisión humana,True,False,['No se devuelve una categoría para evitar una predicción basada únicamente en interceptos.'],,
74d648ef-b83c-4a40-b89f-ceb75e13b616,lote_ruido_oov,20b9f52a-e905-4ba5-8a59-e11026bca9fc,5,2026-08-06T03:25:56.349+00:00,str,zzzxqvvv pppqqqxxx nnnyyywww kkkrrrttt,38,4,True,"El texto es válido, pero no contiene términos reconocidos.",rechazada,,,,,,,0,Solicitar más contexto o revisión humana,True,False,['No se devuelve una categoría para evitar una predicción basada únicamente en interceptos.'],,
74d648ef-b83c-4a40-b89f-ceb75e13b616,lote_ruido_oov,20b9f52a-e905-4ba5-8a59-e11026bca9fc,6,2026-08-06T03:25:56.349+00:00,str,zzzxqvvv pppqqqxxx nnnyyywww kkkrrrttt,38,4,True,"El texto es válido, pero no contiene términos reconocidos.",rechazada,,,,,,,0,Solicitar más contexto o revisión humana,True,False,['No se devuelve una categoría para evitar una predicción basada únicamente en interceptos.'],,
74d648ef-b83c-4a40-b89f-ceb75e13b616,lote_ruido_oov,20b9f52a-e905-4ba5-8a59-e11026bca9fc,7,2026-08-06T03:25:56.349+00:00,str,zzzxqvvv pppqqqxxx nnnyyywww kkkrrrttt,38,4,True,"El texto es válido, pero no contiene términos reconocidos.",rechazada,,,,,,,0,Solicitar más contexto o revisión humana,True,False,['No se devuelve una categoría para evitar una predicción basada únicamente en interceptos.'],,
74d648ef-b83c-4a40-b89f-ceb75e13b616,lote_ruido_oov,20b9f52a-e905-4ba5-8a59-e11026bca9fc,8,2026-08-06T03:25:56.349+00:00,str,zzzxqvvv pppqqqxxx nnnyyywww kkkrrrttt,38,4,True,"El texto es válido, pero no contiene términos reconocidos.",rechazada,,,,,,,0,Solicitar más contexto o revisión humana,True,False,['No se devuelve una categoría para evitar una predicción basada únicamente en interceptos.'],,
74d648ef-b83c-4a40-b89f-ceb75e13b616,lote_ruido_oov,20b9f52a-e905-4ba5-8a59-e11026bca9fc,9,2026-08-06T03:25:56.349+00:00,str,zzzxqvvv pppqqqxxx nnnyyywww kkkrrrttt,38,4,True,"El texto es válido, pero no contiene términos reconocidos.",rechazada,,,,,,,0,Solicitar más contexto o revisión humana,True,False,['No se devuelve una categoría para evitar una predicción basada únicamente en interceptos.'],,
