categoria,ranking,termino,coeficiente,es_stopword
backend,1,backend,6.026514943945929,False
backend,2,go,4.393038029819594,False
backend,3,fastapi,2.872771545496686,False
backend,4,http,2.750162459997612,False
backend,5,spring,2.7074366716775464,False
backend,6,php,2.6091453335577772,False
backend,7,nestjs,2.608725513375445,False
backend,8,api,2.5881414996018677,False
backend,9,database,2.5122151985155035,False
backend,10,webhook,2.436045573202869,False
backend,11,that,2.4047306010634872,False
backend,12,java,2.317208542227787,False
backend,13,queue,2.258965965842661,False
backend,14,kafka,2.1732767105525883,False
backend,15,seconds,2.0438327265654532,False
backend,16,saas,2.036753460318108,False
backend,17,system,2.018098922207191,False
backend,18,payment,1.990536379436956,False
backend,19,distributed,1.9311504980250094,False
backend,20,runtime,1.9145324522871958,False
backend,21,in go,1.8817381715360824,False
backend,22,postgres,1.8688562306995302,False
backend,23,apis,1.8663010494234995,False
backend,24,sql,1.8036226272381306,False
backend,25,laravel,1.7991906962100757,False
backend,26,rate,1.783406345191868,False
backend,27,redis,1.7749403940982067,False
backend,28,bean,1.7651325599101917,False
backend,29,query,1.7218589327979361,False
backend,30,day,1.7110653339110693,False
backend,31,during,1.6976437264520114,False
backend,32,idempotency,1.6843116016569701,False
backend,33,request,1.6529033391183,False
backend,34,email,1.6488284888449958,False
backend,35,in,1.6464890752363819,False
backend,36,crud,1.6273730832929703,False
backend,37,server-side,1.626090609977571,False
backend,38,api design,1.608243975739322,False
backend,39,internship,1.5950137151371797,False
backend,40,hyperlane,1.5734016808301492,False
backend,41,pocketbase,1.5691245074943299,False
backend,42,order,1.553990775918125,False
backend,43,cache,1.5534799147162752,False
backend,44,had,1.5477911884110085,False
backend,45,through,1.5359009701395214,False
backend,46,routing,1.5307000760356748,False
backend,47,at the,1.5189669957065353,False
backend,48,i m,1.5154742719033785,False
backend,49,read,1.5100221723676617,False
backend,50,aggregate,1.4863140934151708,False
backend,51,keys,1.4850328852077799,False
backend,52,systems,1.4745743918013052,False
backend,53,re,1.4736620247545138,False
backend,54,node.js,1.456344538871485,False
backend,55,logging,1.4353956303598456,False
backend,56,fintech,1.4204907015202544,False
backend,57,sms,1.4203502206702958,False
backend,58,system design,1.4026205946784225,False
backend,59,prisma,1.3981692883347174,False
backend,60,whatsapp,1.3962482885663827,False
backend,61,protocol,1.3958821126317154,False
backend,62,the,1.3954875280117487,False
backend,63,never,1.3853163771295225,False
backend,64,backends,1.3851731161503236,False
backend,65,covers,1.3841575263111825,False
backend,66,erp,1.3771483038058265,False
backend,67,integration,1.3717445423572143,False
backend,68,emails,1.36349528841276,False
backend,69,logic,1.3626168699890528,False
backend,70,real-time chatroom,1.3616763181677494,False
backend,71,chatroom,1.3616763181677494,False
backend,72,full-stack,1.345168241638319,False
backend,73,webhooks,1.3450641340711194,False
backend,74,elasticsearch,1.333103255037094,False
backend,75,polling,1.3308569026489132,False
backend,76,this week,1.3262180820438874,False
backend,77,retry,1.323874875665214,False
backend,78,firebase,1.315702498982774,False
backend,79,rate limiter,1.314042444055703,False
backend,80,limiter,1.3009934633489944,False
backend,81,baas,1.2975724837300542,False
backend,82,supabase,1.2965566480103474,False
backend,83,streaming,1.292347443858225,False
backend,84,integrating,1.2835090528594368,False
