fold,indice_original,categoria_real,categoria_predicha,segunda_categoria,prediccion_correcta,puntuacion_ganadora,puntuacion_segunda,margen_decision,word_features_activas,char_features_activas,features_activas_total,estado_operacional,motivo_operacional
1,283,backend,backend,cloud,True,0.4565496207576981,-0.5947449409786401,1.0512945617363383,16,279,295,aceptada,Predicción con evidencia suficiente.
1,1170,cloud,cloud,datascience,True,1.153262209984256,-0.8215808404474733,1.9748430504317294,29,372,401,aceptada,Predicción con evidencia suficiente.
1,789,cloud,cloud,datascience,True,0.6608580627957478,-0.868704004452034,1.5295620672477819,28,277,305,aceptada,Predicción con evidencia suficiente.
1,1911,frontend,frontend,cloud,True,2.5127829560515442,-1.53569520189892,4.0484781579504645,29,390,419,aceptada,Predicción con evidencia suficiente.
1,3730,datascience,datascience,backend,True,1.168126846213951,-1.095473637376174,2.2636004835901247,20,258,278,aceptada,Predicción con evidencia suficiente.
1,3569,backend,backend,cloud,True,0.7644660530004829,-0.7096685272792277,1.4741345802797106,32,286,318,aceptada,Predicción con evidencia suficiente.
1,3995,frontend,frontend,cloud,True,0.022901032378807473,-0.24065689898768394,0.2635579313664914,28,346,374,revision,Margen de decisión reducido.
1,142,cloud,cloud,datascience,True,1.2238806616053886,-1.0799519519284992,2.3038326135338876,37,249,286,aceptada,Predicción con evidencia suficiente.
1,714,cloud,cloud,backend,True,0.16739565168649562,-0.8151314974757403,0.9825271491622359,25,353,378,aceptada,Predicción con evidencia suficiente.
1,2199,frontend,frontend,cloud,True,1.5509556888378013,-0.9872888794108821,2.5382445682486834,20,228,248,aceptada,Predicción con evidencia suficiente.
1,2707,datascience,datascience,frontend,True,1.1476213908340545,-0.9289180235422559,2.0765394143763105,20,268,288,aceptada,Predicción con evidencia suficiente.
1,4377,backend,backend,datascience,True,1.1442821810970445,-1.0081039696394554,2.1523861507364996,40,276,316,aceptada,Predicción con evidencia suficiente.
1,1640,frontend,backend,frontend,False,-0.15760375385392578,-0.30941339197159656,0.1518096381176708,23,284,307,revision,Margen de decisión reducido.
1,1569,frontend,frontend,cloud,True,0.8291204376433665,-0.5269771440970088,1.3560975817403753,16,177,193,aceptada,Predicción con evidencia suficiente.
1,1110,cloud,frontend,cloud,False,0.23900055976514822,-0.4373188845012535,0.6763194442664018,29,313,342,aceptada,Predicción con evidencia suficiente.
1,3455,cloud,cloud,backend,True,0.24095353091510263,-0.8187952987764113,1.059748829691514,25,306,331,aceptada,Predicción con evidencia suficiente.
1,3023,backend,backend,frontend,True,0.8721123134640721,-0.45041319065980717,1.3225255041238793,34,313,347,aceptada,Predicción con evidencia suficiente.
1,861,datascience,datascience,backend,True,0.8522549901333706,-0.6403103882569826,1.4925653783903532,24,288,312,aceptada,Predicción con evidencia suficiente.
1,3286,datascience,datascience,backend,True,1.371530078682074,-1.1766067158521039,2.548136794534178,26,229,255,aceptada,Predicción con evidencia suficiente.
1,3810,backend,backend,cloud,True,0.7540680848505864,-0.7856497692454473,1.5397178540960337,27,382,409,aceptada,Predicción con evidencia suficiente.
1,1960,backend,frontend,backend,False,0.005345098806852133,-0.41470373336455796,0.4200488321714101,39,362,401,revision,Margen de decisión reducido.
1,160,backend,backend,frontend,True,0.49262507085987883,-0.7609227496676825,1.2535478205275612,18,243,261,aceptada,Predicción con evidencia suficiente.
1,4193,backend,backend,datascience,True,0.6460178718449542,-0.1380639577373387,0.7840818295822929,36,349,385,aceptada,Predicción con evidencia suficiente.
1,2678,backend,cloud,frontend,False,0.8215530301744974,-0.28112530351881415,1.1026783336933117,47,486,533,aceptada,Predicción con evidencia suficiente.
1,2056,backend,backend,cloud,True,0.5336482272499053,-0.36508145580791646,0.8987296830578217,30,249,279,aceptada,Predicción con evidencia suficiente.
1,3316,frontend,frontend,datascience,True,1.827112210457311,-1.1414503469385264,2.9685625573958374,31,283,314,aceptada,Predicción con evidencia suficiente.
1,4469,cloud,cloud,backend,True,1.1947539515054193,-1.0482040659747236,2.242958017480143,22,248,270,aceptada,Predicción con evidencia suficiente.
1,4023,datascience,datascience,frontend,True,0.671297426634066,-0.2727715964077232,0.9440690230417892,22,394,416,aceptada,Predicción con evidencia suficiente.
1,491,frontend,frontend,backend,True,0.1715084617833742,-0.5576858943280778,0.729194356111452,14,215,229,aceptada,Predicción con evidencia suficiente.
1,3127,datascience,frontend,cloud,False,-0.22308549321653967,-0.31546151701916536,0.09237602380262569,9,204,213,revision,Margen de decisión reducido.
1,892,cloud,cloud,backend,True,0.1568617108069471,-0.6929230512117956,0.8497847620187428,26,194,220,aceptada,Predicción con evidencia suficiente.
1,726,datascience,datascience,frontend,True,0.6535935062223585,-0.8111642351574745,1.464757741379833,27,238,265,aceptada,Predicción con evidencia suficiente.
1,620,cloud,cloud,frontend,True,1.308481655945422,-0.84743955475878,2.155921210704202,48,335,383,aceptada,Predicción con evidencia suficiente.
1,2632,frontend,frontend,backend,True,0.9015691679193281,-0.35743150095075304,1.259000668870081,34,331,365,aceptada,Predicción con evidencia suficiente.
1,3836,datascience,datascience,backend,True,0.1526044189343746,-0.43145473649808475,0.5840591554324593,35,387,422,revision,Margen de decisión reducido.
1,428,backend,backend,cloud,True,0.20460330023923512,-0.5542425471270775,0.7588458473663127,25,318,343,aceptada,Predicción con evidencia suficiente.
1,2455,cloud,cloud,datascience,True,1.3817101784823644,-1.1629088594705794,2.544619037952944,19,172,191,aceptada,Predicción con evidencia suficiente.
1,1448,datascience,datascience,backend,True,1.7483616079567645,-1.3101902399526129,3.0585518479093774,29,206,235,aceptada,Predicción con evidencia suficiente.
1,429,cloud,cloud,backend,True,2.242143019882522,-1.8058777992012849,4.048020819083806,16,205,221,aceptada,Predicción con evidencia suficiente.
1,1212,cloud,cloud,frontend,True,1.21499652112821,-1.220442437486043,2.4354389586142533,25,156,181,aceptada,Predicción con evidencia suficiente.
1,2966,frontend,frontend,cloud,True,1.7860150878368406,-1.2801266230878094,3.06614171092465,28,287,315,aceptada,Predicción con evidencia suficiente.
1,1720,frontend,frontend,cloud,True,1.5365984113738884,-1.0641253799611814,2.60072379133507,17,192,209,aceptada,Predicción con evidencia suficiente.
1,100,frontend,frontend,backend,True,0.997104167329782,-0.9554505250297475,1.9525546923595294,14,206,220,aceptada,Predicción con evidencia suficiente.
1,975,datascience,datascience,backend,True,-0.010701561392427283,-0.31556122899292893,0.30485966760050165,31,406,437,revision,Margen de decisión reducido.
1,1406,frontend,backend,cloud,False,0.5834681675692316,-0.9425837054537698,1.5260518730230013,31,260,291,aceptada,Predicción con evidencia suficiente.
1,1064,datascience,datascience,frontend,True,0.7956076526979811,-0.7527642510526361,1.5483719037506172,28,268,296,aceptada,Predicción con evidencia suficiente.
1,2145,frontend,frontend,backend,True,1.0680678358982136,-0.9761086481572622,2.044176484055476,8,166,174,revision,Cobertura reducida de características.
1,2269,cloud,cloud,frontend,True,1.2524269389582279,-1.2172808087506173,2.469707747708845,26,157,183,aceptada,Predicción con evidencia suficiente.
1,2237,backend,backend,frontend,True,0.9088868798182069,-0.7649028444745789,1.673789724292786,36,239,275,aceptada,Predicción con evidencia suficiente.
1,2329,frontend,frontend,cloud,True,1.7173019661764262,-1.37077494340332,3.0880769095797462,5,143,148,revision,Cobertura reducida de características.
1,1945,cloud,cloud,backend,True,1.0150322526305446,-1.009226238508332,2.024258491138877,38,269,307,aceptada,Predicción con evidencia suficiente.
1,3762,backend,datascience,cloud,False,-0.4130607328897199,-0.44535382573714805,0.03229309284742815,31,364,395,revision,Margen de decisión reducido.
1,3352,datascience,datascience,backend,True,0.41084370023468,-0.431990727961019,0.842834428195699,5,260,265,aceptada,Predicción con evidencia suficiente.
1,602,datascience,datascience,cloud,True,1.0495145829245125,-0.8537043088229791,1.9032188917474917,33,312,345,aceptada,Predicción con evidencia suficiente.
1,1543,frontend,frontend,backend,True,0.7581877590671844,-0.3256390902858162,1.0838268493530006,12,208,220,aceptada,Predicción con evidencia suficiente.
1,312,cloud,cloud,datascience,True,2.1653733360622076,-1.531529119541196,3.6969024556034036,38,246,284,aceptada,Predicción con evidencia suficiente.
1,995,datascience,frontend,backend,False,-0.10380583663603635,-0.15752248049497442,0.05371664385893807,20,445,465,revision,Margen de decisión reducido.
1,2908,datascience,datascience,backend,True,0.08048129602360532,-0.4731202492921111,0.5536015453157164,22,297,319,revision,Margen de decisión reducido.
1,158,backend,backend,cloud,True,0.9937686830833387,-0.8178810496304006,1.8116497327137393,23,269,292,aceptada,Predicción con evidencia suficiente.
1,339,frontend,frontend,backend,True,1.6179710288008915,-1.0352109871024857,2.6531820159033774,12,185,197,aceptada,Predicción con evidencia suficiente.
1,4154,frontend,frontend,backend,True,0.5653659056850341,-0.560707321296326,1.12607322698136,7,114,121,revision,Cobertura reducida de características.
1,1961,cloud,frontend,backend,False,0.025291361217122832,-0.46709988322610596,0.4923912444432288,18,379,397,revision,Margen de decisión reducido.
1,3408,cloud,cloud,frontend,True,0.2602849165374479,0.0456497721041324,0.2146351444333155,25,310,335,revision,Margen de decisión reducido.
1,1888,frontend,backend,cloud,False,0.4645627881166702,-0.6249228227963287,1.089485610912999,16,195,211,aceptada,Predicción con evidencia suficiente.
1,698,datascience,frontend,datascience,False,-0.2511054585320334,-0.5069324612124588,0.2558270026804254,40,316,356,revision,Margen de decisión reducido.
1,3479,cloud,cloud,frontend,True,0.4732579923379844,-0.44900453066444845,0.9222625230024328,31,377,408,aceptada,Predicción con evidencia suficiente.
1,1021,backend,datascience,backend,False,-0.25701223047533417,-0.25736901043256,0.0003567799572258279,32,344,376,revision,Margen de decisión reducido.
